file_stem;os_family;os_label;kernel_version;mac_address
almalinux;CentOS;AlmaLinux 10.1;Linux 6.12.0-124.8.1.el10_1x86_64;08:00:27:87:10:f7
alpine;Alpine;Alpine Linux 3.23.2;Linux 6.18.4-0;08:00:27:9e:e6:0d
archbang;Arch;ArchBANG;Linux 6.18.3-arch1-1;08:00:27:38:fd:a3
archcraft;Arch;Archcraft v2025.10;Linux 6.17.2-arch1-1;08:00:27:c6:ad:ce
artix-dinit;Arch;Artix Linux;Linux 6.16.6-artix1-1;08:00:27:2c:e2:46
bazzite;Fedora;Bazzite 43;Linux 6.17.12-300.fc43;08:00:27:58:e2:60
biglinux;Manjaro;BigLinux;Linux 6.12.63-1-MANJARO;08:00:27:61:f3:48
bluestar;Arch;Bluestar Linux;Linux 6.18.5-arch1-1;08:00:27:ce:54:55
bodhilinux;Ubuntu;Bodhi Linux 7.0.0;Linux 5.15.0-78-generic;08:00:27:d2:4a:7b
cachy;Arch;Linux CachyOS;Linux 6.12.58-1-cachyos-lts;08:00:27:59:68:5e
calculate;Gentoo;Calculate Linux Desktop Cinnamon;Linux 6.12.41-calculate;08:00:27:5d:7f:0d
cent;CentOS;CentOS Stream 10;Linux 6.12.0-174.el10;08:00:27:0b:60:2d
debian;Debian;Debian 13.3.0;Linux 6.12.63+deb13-amd64;08:00:27:65:56:ca
deepin;Debian;Deepin Community 25.0.10;Linux 6.12.65-amd64-desktop-rolling;08:00:27:37:d7:ca
devuan;Debian;Devuan 6;Linux 6.12.57+deb13-amd64;08:00:27:58:53:94
dragonos;Ubuntu;DragonOS 24.04;Linux 6.14.0-37-generic;08:00:27:18:63:49
elementaryos;Ubuntu;Elementary OS 8.1;Linux 6.17.0-14-generic;08:00:27:c5:45:69
emmabuntus;Debian;Emmabuntus 6;Linux 6.12.57+deb13-amd64;08:00:27:78:49:9f
endeavour;Arch;EndeavourOS;Linux 6.17.8-arch1-1;08:00:27:c8:ea:1b
fedora;Fedora;Fedora Linux 43;Linux 6.18.5-200.fc43.x86_64;08:00:27:7c:35:94
ferenos;Ubuntu;FerenOS 2025.03;Linux 6.8.0-85-generic;08:00:27:98:1b:3e
freebsd;FreeBSD;FreeBSD 15.0;FreeBSD 15.0;08:00:27:e1:ee:b8
funos;Ubuntu;FunOS 25.10;Linux 6.17.0-5-generic;08:00:27:4f:26:30
garuda;Arch;Garuda;Linux 6.17.6-zen1-1-zen;08:00:27:b4:2e:c9
ghostbsd;FreeBSD;GhostBSD 25.02-R41.3p2;FreeBSD 14.3-RELEASE-p2;08:00:27:0c:22:f8
kali;Debian;Kali GNU/Linux;Linux 6.16.8+kali-amd64;08:00:27:8f:ab:29
linux-lite;Ubuntu;Linux Lite 7.6;Linux 6.8.0.90-generic;08:00:27:2c:26:ed
lubuntu;Ubuntu;Lubuntu 25.10;Linux 6.17.0-5-generic;08:00:27:d2:ea:3f
maboxlinux;Manjaro;Mabox Linux 25.12;Linux 6.12.62-1-MANJARO;08:00:27:8d:14:05
mageia;Mandriva;Mageia 9;Linux 6.4.9-desktop-4.mga9;08:00:27:8c:fd:c9
manjaro;Arch;Manjaro Linux;Linux 6.18.8-1-MANJARO;08:00:27:46:61:6c
mint;Ubuntu;Linux Mint 22.2;Linux 6.14.0.29-generic;08:00:27:e6:f4:4b
mxlinux;Debian;MXLinux 25;Linux 6.12.48+deb13-amd64;08:00:27:a8:5e:71
nobara;Fedora;Nobara Linux 43;Linux 6.18.3-201.nobara.fc43;08:00:27:f9:f1:3f
openmandriva;Mandriva;OpenMandriva ROME 25.12;Linux 6.18.0-desktop-1omv2590;08:00:27:7d:59:99
opensuse-leap;SUSE;OpenSUSE Leap 16.0;Linux 6.12-16.8-default;08:00:27:27:5b:df
opensuse-tumbleweed;SUSE;OpenSUSE Tumbleweed;Linux 6.18.4-1-default;08:00:27:9b:1e:3a
oracle;CentOS;Oracle Linux 10.1;Linux Oracle 6.12.0-106.55.4.2.el10uek.x86_64;08:00:27:b1:86:44
parrot;Debian;Parrot Security 7;Linux 6.17.13+2-amd64;08:00:27:88:70:f1
