Ranking;OS Name;Ranking Changes
1;CachyOS;4055>
2;Mint;2577<
3;MX Linux;1964<
4;Debian;1579=
5;EndeavourOS;1386<
6;Pop!_OS;1378>
7;Zorin;1140>
8;Manjaro;1130=
9;Fedora;1084>
10;Ubuntu;1055=
11;AnduinOS;861>
12;openSUSE;781=
13;Nobara;707=
14;elementary;590=
15;NixOS;568>
16;Bluestar;543=
17;KDE neon;520<
18;antiX;513=
19;BigLinux;498>
20;Bazzite;490>
21;Arch;468>
22;Garuda;448<
23;Q4OS;440=
24;TUXEDO;424<
25;FreeBSD;402=
26;PikaOS;399>
27;Kali;398<
28;SparkyLinux;395>
29;AlmaLinux;370<
30;Puppy;362=
31;Alpine;345=
32;MiniOS;328>
33;CentOS;325=
34;PCLinuxOS;319=
35;Tails;318<
36;Voyager;315=
37;EasyOS;310=
38;Linuxfx;309=
39;Solus;309=
40;Kubuntu;308=
41;Lite;306=
42;Devuan;285=
43;Artix;267>
44;Parrot;261=
45;AerynOS;253>
46;Void;250>
47;Exton;244>
48;DragonOS;242=
49;ALT;240>
50;Omarchy;240>
51;Rocky;237=
52;FunOS;234=
53;OpenMandriva;233<
54;Lubuntu;232<
55;Slackware;232<
56;Gentoo;228=
57;Commodore;222=
58;Peppermint;221=
59;deepin;218=
60;Ultimate;215=
61;Mageia;214=
62;PorteuX;211=
63;Red Hat;210=
64;Xubuntu;210=
65;AV Linux;207=
66;blendOS;206=
67;MODICIA;199=
68;Archcraft;197=
69;Kodachi;197=
70;MocaccinoOS;197>
71;ReactOS;193=
72;Tiny Core;193=
73;ArchBANG;191=
74;KaOS;190=
75;Bodhi;186=
76;GhostBSD;183=
77;KDE Linux;180=
78;Ultramarine;179=
79;Gnoppix;177=
80;Vanilla;176=
81;Calculate;173=
82;ZimaOS;173>
83;FydeOS;170=
84;Mabox;169=
85;Nitrux;167=
86;Qubes;165=
87;SmartOS;165=
88;AxOS;164=
89;MagOS;163>
90;Feren;159=
91;4MLinux;158=
92;OpenBSD;154=
93;GNOME OS;152=
94;Ubuntu Studio;151=
95;Chimera;148=
96;Proxmox;148<
97;Besgnulinux;147>
98;Regata;147=
99;TrueNAS;146<
100;HackerOS;143=
101;BunsenLabs;138=
102;MakuluLinux;137=
103;RebornOS;137<
104;Oracle;135=
105;SDesk;133=
106;Emmabuntüs;132=
107;Murena;128<
108;Expirion;127>
109;Rhino;127=
110;Aurora;120=
111;Haiku;119<
112;Porteus;118=
113;Wifislax;118=
114;Ubuntu MATE;116<
115;Dr.Parted;115=
116;Endless;115=
117;GLF;115>
118;TROMjaro;114>
119;VailuxOS;111>
120;ChromeOS;107>
121;iDeal;106=
122;Talos;105=
123;Volumio;105=
124;GXDE;104=
125;Br OS;102=
126;NebiOS;100=
127;openmamba;99=
128;Oreon;99=
129;SliTaz;99>
130;AUSTRUMI;98=
131;DragonFly;98>
132;RasPiOS;98=
133;Kicksecure;97=
134;openKylin;97<
135;DietPi;96=
136;LinuxHub;96>
137;postmarketOS;94=
138;Security Onion;94=
139;Whonix;94=
140;Neptune;93>
141;Damn Small;92=
142;Athena;89=
143;MidnightBSD;88=
144;Pardus;88=
145;extrox;87>
146;Ubuntu Cinnamon;87=
147;Liya;85=
148;Genuen;84=
149;OmegaLinux;84>
150;siduction;84=
151;Ufficio Zero;83>
152;Kiro;82=
153;ROSA;82=
154;Shanios;82=
155;Synex;82=
156;GParted;81>
157;Lingmo;81=
158;Clonezilla;80=
159;Mauna;80=
160;pearOS;80>
161;Redox;80=
162;SystemRescue;80<
163;Nyarch;79=
164;StormOS;79=
165;XIVA Studio;79>
166;Guix System;77=
167;Ubuntu Budgie;77=
168;LFS;76=
169;HeliumOS;74=
170;SUSE;74=
171;Archman;73>
172;ExTiX;73=
173;iodéOS;73=
174;Loc-OS;73=
175;Obarun;73=
176;RefreshOS;73=
177;Vendefoul;73=
178;Asmi;72=
179;Pearl;72=
180;CRUX;71=
181;Debian Edu;70=
182;OpenMediaVault;70=
183;T2 Linux;70=
